New Orleans-Atlanta,754621
New Orleans-New York,2099121
Orlando-Brooklyn,1734747
Indiana-Memphis,879876
Dallas-Utah,1999038
Cleveland-Atlanta,1141336
Brooklyn-Phoenix,3879181
Detroit-Memphis,1197269
Toronto-New Orleans,2083557
New York-Dallas,2489826
Miami-Charlotte,1183864
Portland-Indiana,3673918
Houston-Philadelphia,2490613
San Antonio-Utah,2114183
Brooklyn-Golden State,4673080
New York-Denver,2858821
Portland-Memphis,3619492
Dallas-Atlanta,1257211
Brooklyn-Sacramento,4537247
Dallas-Miami,2110030
Minnesota-Boston,2505121
Memphis-Chicago,857815
Portland-Houston,3623431
Charlotte-Milwaukee,1372007
New York-Utah,3494989
Dallas-Denver,1282888
Orlando-Los Angeles,4037265
Utah-San Antonio,2115630
Minnesota-Toronto,1759775
Detroit-Charlotte,1007871
New York-Phoenix,3872705
Atlanta-Golden State,3712299
Indiana-Houston,1766425
Philadelphia-Memphis,1635306
New Orleans-Cleveland,1692869
Chicago-Milwaukee,148183
Denver-Memphis,1762784
Atlanta-Sacramento,3981972
Orlando-Phoenix,3438373
Houston-Milwaukee,1853205
Brooklyn-New York,7789
Houston-Chicago,1744516
Detroit-Washington,838294
Atlanta-Portland,4183149
Miami-Indiana,2056601
San Antonio-Dallas,439675
Minnesota-Sacramento,2892359
Washington-Atlanta,1029059
Minnesota-Portland,2588972
Washington-San Antonio,2579703
Indiana-Orlando,1688350
Washington-Houston,2266567
Brooklyn-New Orleans,2104005
Toronto-Los Angeles,4053299
Miami-Minnesota,3143351
Golden State-Oklahoma City,2336692
Boston-Milwaukee,1742130
Houston-Detroit,2095331
Philadelphia-Los Angeles,4362449
Miami-Denver,3329858
Washington-Memphis,1411145
Golden State-Cleveland,3978254
Indiana-Charlotte,938046
New Orleans-Orlando,1028881
Minnesota-Chicago,910766
Utah-Milwaukee,2321644
Toronto-Sacramento,4094586
Miami-Phoenix,3806872
Chicago-Dallas,1490478
Cleveland-New Orleans,1694057
Golden State-Boston,5003784
Philadelphia-Phoenix,3768790
Toronto-Denver,2422635
Indiana-Dallas,1580215
Orlando-Oklahoma City,2080333
Charlotte-Minnesota,2133385
New York-Houston,2618186
Utah-Chicago,2255021
Sacramento-Miami,4887286
Memphis-Brooklyn,1772150
Boston-Atlanta,1744872
Golden State-Washington,4495370
Orlando-Dallas,1748304
Atlanta-New Orleans,754689
Memphis-Philadelphia,1635055
Sacramento-Toronto,4105781
Boston-Charlotte,1361692
Indiana-New Orleans,1443551
Sacramento-Atlanta,3969580
Chicago-Brooklyn,1278850
Milwaukee-Memphis,1001207
New Orleans-Golden State,3321893
